,year,m,doy,ndsi,swe
0,2013.0,1.0,1.0,5628.0,13.3
1,2013.0,1.0,1.0,7377.931989924433,20.8
2,2013.0,1.0,1.0,3285.0,3.7
3,2013.0,1.0,1.0,6993.0,16.0
4,2013.0,1.0,1.0,6162.0,20.2
5,2013.0,1.0,1.0,6225.0,16.3
6,2013.0,1.0,1.0,5056.556701312285,20.4
7,2013.0,1.0,1.0,7056.0,22.8
8,2013.0,1.0,1.0,6222.128205128205,19.6
9,2013.0,1.0,1.0,5644.0,13.2
10,2013.0,1.0,1.0,6290.0,10.3
11,2013.0,1.0,1.0,6222.128205128205,19.6
12,2013.0,1.0,1.0,5628.0,13.3
13,2013.0,1.0,1.0,5116.0,8.8
14,2013.0,1.0,1.0,3285.0,3.7
15,2013.0,1.0,1.0,6986.006595735968,37.0
16,2013.0,1.0,1.0,7056.0,22.8
17,2013.0,1.0,1.0,7377.931989924433,20.8
18,2013.0,1.0,1.0,5644.0,13.2
19,2013.0,1.0,1.0,5116.0,8.8
20,2013.0,1.0,1.0,5056.556701312285,20.4
21,2013.0,1.0,1.0,6290.0,10.3
22,2013.0,1.0,1.0,6162.0,20.2
23,2013.0,1.0,1.0,6594.0,5.9
24,2013.0,1.0,1.0,6359.0,9.6
25,2013.0,1.0,1.0,6225.0,16.3
26,2013.0,1.0,1.0,6986.006595735968,37.0
27,2013.0,1.0,1.0,6359.0,9.6
28,2013.0,1.0,1.0,6993.0,16.0
29,2013.0,1.0,1.0,6594.0,5.9
30,2013.0,1.0,1.0,7010.362373737374,7.7
31,2013.0,1.0,1.0,2169.50505050505,2.1
32,2013.0,1.0,1.0,1690.442065491184,4.5
33,2013.0,1.0,1.0,5367.801919577871,9.2
34,2013.0,1.0,1.0,7892.0,21.4
35,2013.0,1.0,1.0,7474.0,18.8
36,2013.0,1.0,1.0,6069.0,8.1
37,2013.0,1.0,1.0,2497.0,4.2
38,2013.0,1.0,1.0,2490.0,8.3
39,2013.0,1.0,1.0,7496.0,16.4
40,2013.0,1.0,1.0,5613.737752646445,8.0
41,2013.0,1.0,1.0,1838.0,2.2
42,2013.0,1.0,1.0,3101.803278688525,5.6
43,2013.0,1.0,1.0,4501.689567430026,6.4
44,2013.0,1.0,1.0,6198.0,0.8
45,2013.0,1.0,1.0,3751.0,15.8
46,2013.0,1.0,1.0,5390.2,3.5
47,2013.0,1.0,1.0,1187.8690176322418,9.6
48,2013.0,1.0,1.0,5282.0,6.3
49,2013.0,1.0,1.0,5282.0,6.3
50,2013.0,1.0,1.0,6198.0,0.8
51,2013.0,1.0,1.0,6954.0,14.3
52,2013.0,1.0,1.0,7181.668763875237,9.3
53,2013.0,1.0,1.0,5613.737752646445,8.0
54,2013.0,1.0,1.0,6884.0,8.7
55,2013.0,1.0,1.0,6884.0,8.7
56,2013.0,1.0,1.0,846.0,14.6
57,2013.0,1.0,1.0,7010.362373737374,7.7
58,2013.0,1.0,1.0,992.0,1.0
59,2013.0,1.0,1.0,1839.545222929936,5.2
60,2013.0,1.0,1.0,6983.0,16.6
61,2013.0,1.0,1.0,6271.651282051283,3.0
62,2013.0,1.0,1.0,6069.0,8.1
63,2013.0,1.0,1.0,6730.0,4.4
64,2013.0,1.0,1.0,3460.0,4.4
65,2013.0,1.0,1.0,7474.0,18.8
66,2013.0,1.0,1.0,1039.1367088607594,11.6
67,2013.0,1.0,1.0,4374.0,1.5
68,2013.0,1.0,1.0,4374.0,1.5
69,2013.0,1.0,1.0,2490.0,8.3
70,2013.0,1.0,1.0,5390.2,3.5
71,2013.0,1.0,1.0,6127.0,4.6
72,2013.0,1.0,1.0,4704.0,6.7
73,2013.0,1.0,1.0,4704.0,6.7
74,2013.0,1.0,1.0,4706.0,4.9
75,2013.0,1.0,1.0,6476.862912690253,13.4
76,2013.0,1.0,1.0,4201.845454710872,2.3
77,2013.0,1.0,1.0,5394.692793931732,5.7
78,2013.0,1.0,1.0,5508.0,5.5
79,2013.0,1.0,1.0,4762.0,5.7
80,2013.0,1.0,1.0,863.9076856590468,5.6
81,2013.0,1.0,1.0,7215.019255455712,3.2
82,2013.0,1.0,1.0,5644.0,3.8
83,2013.0,1.0,1.0,6438.0,4.9
84,2013.0,1.0,1.0,1335.0,6.3
85,2013.0,1.0,1.0,6865.44262295082,5.7
86,2013.0,1.0,1.0,6912.0,2.3
87,2013.0,1.0,1.0,6622.0,5.9
88,2013.0,1.0,1.0,6730.0,4.4
89,2013.0,1.0,1.0,6912.0,2.3
90,2013.0,1.0,1.0,6622.0,5.9
91,2013.0,1.0,1.0,5905.0,5.4
92,2013.0,1.0,1.0,6346.744923857867,25.2
93,2013.0,1.0,1.0,3101.803278688525,5.6
94,2013.0,1.0,1.0,2231.0,6.9
95,2013.0,1.0,1.0,6983.0,16.6
96,2013.0,1.0,1.0,2196.0,3.0
97,2013.0,1.0,1.0,2196.0,3.0
98,2013.0,1.0,1.0,8400.875634517768,17.8
99,2013.0,1.0,1.0,6904.0,6.3
100,2013.0,1.0,1.0,2497.0,4.2
101,2013.0,1.0,1.0,4458.0,4.9
102,2013.0,1.0,1.0,5985.0,7.9
103,2013.0,1.0,1.0,7881.0,4.2
104,2013.0,1.0,1.0,7603.0,8.0
105,2013.0,1.0,1.0,5113.0,4.4
106,2013.0,1.0,1.0,6603.867710882839,4.8
107,2013.0,1.0,1.0,6983.0,5.9
108,2013.0,1.0,1.0,6162.0,8.2
109,2013.0,1.0,1.0,6904.0,6.3
110,2013.0,1.0,1.0,3917.0,9.9
111,2013.0,1.0,1.0,6983.0,5.9
112,2013.0,1.0,1.0,6476.862912690253,13.4
113,2013.0,1.0,1.0,6815.317480719794,4.4
114,2013.0,1.0,1.0,6769.142312579415,6.4
115,2013.0,1.0,1.0,7603.0,8.0
116,2013.0,1.0,1.0,4458.0,4.9
117,2013.0,1.0,1.0,1739.0,2.0
118,2013.0,1.0,1.0,1187.8690176322418,9.6
119,2013.0,1.0,1.0,7823.0,34.9
120,2013.0,1.0,1.0,6346.744923857867,25.2
121,2013.0,1.0,1.0,7215.019255455712,3.2
122,2013.0,1.0,1.0,4899.0,3.7
123,2013.0,1.0,1.0,7681.0,2.6
124,2013.0,1.0,1.0,5905.0,5.4
125,2013.0,1.0,1.0,6865.44262295082,5.7
126,2013.0,1.0,1.0,5389.0,5.7
127,2013.0,1.0,1.0,6269.0,4.5
128,2013.0,1.0,1.0,6771.625790139067,8.3
